player	team	games_played	wins	losses	minutes_played	field_goals_made	field_goals_attempted	three_pointers_made	three_pointers_attempted	free_throws_made	free_throws_attempted	rebounds	assists	turnovers	steals	blocks	personal_fouls	points
Nene	WAS	50	28	22	26.3	4.9	9.3	0	0.1	1.9	3	4.9	2.1	2	1.1	0.4	3	11.6
Pau Gasol	CHI	67	40	27	34.6	7.3	14.7	0.2	0.3	3.8	4.6	11.9	2.7	2.1	0.3	1.9	2	18.4
Paul Millsap	ATL	66	51	15	33.1	6.2	12.9	1.1	3	3.5	4.7	7.9	3	2.4	1.8	0.9	2.8	16.9
Paul Pierce	WAS	64	37	27	26.8	4.3	9.4	1.7	4.3	2.5	3.1	4.1	2	1.4	0.7	0.3	2.3	12.8
Rajon Rondo	DAL	57	29	28	29.8	4	9.6	0.4	1.4	0.4	1.2	5.7	8.1	3.2	1.4	0.1	2.3	8.8
Ricky Rubio	MIN	22	7	15	31.5	3.5	10	0.6	2.3	2.6	3.2	5.7	8.8	2.9	1.7	0	2.7	10.3
Robin Lopez	POR	45	31	14	28.5	4.1	7.6	0	0	1.6	2.2	6.8	1	1.3	0.3	1.5	2.2	9.8
Roy Hibbert	IND	63	26	37	25.7	4.2	9.5	0	0	2.3	2.8	7.1	1.1	1.5	0.2	1.7	2.9	10.8
Rudy Gay	SAC	61	21	40	35.5	7.5	16.4	1.1	3.2	4.8	5.6	5.9	3.7	2.7	1.1	0.6	2.3	20.9
Rudy Gobert	UTA	24	15	9	34	3.4	5.8	0	0	2.4	3.9	12.2	1.7	2	1	3	2	9.3
Russell Westbrook	OKC	54	34	20	34	9.2	21.4	1.1	3.8	8.3	9.8	7.3	8.5	4.4	2.1	0.2	2.6	27.8
Serge Ibaka	OKC	64	35	29	33.1	5.8	12.3	1.2	3.2	1.4	1.7	7.8	0.9	1.5	0.5	2.4	3	14.3
Stephen Curry	GSW	67	56	11	32.9	8	16.7	3.3	8	4	4.4	4.3	7.9	3.1	2.1	0.2	1.9	23.3
Tim Duncan	SAS	63	41	22	29.6	5.6	11.2	0	0.1	2.9	4.1	9.4	3	1.8	0.9	1.9	2.2	14.2
Timofey Mozgov	CLE	69	41	28	25.7	3.9	7	0	0.1	1.9	2.7	7.4	0.6	1.3	0.4	1.3	2.9	9.7
Tony Parker	SAS	54	36	18	29.3	6.1	12.6	0.6	1.4	2.2	2.7	2	5	2.3	0.6	0	1.6	15
Trey Burke	UTA	42	15	27	32.3	4.6	12.7	1.5	4.7	1.6	2	2.6	5	1.8	0.9	0.2	1.7	12.3
Tyreke Evans	NOP	64	34	30	34.5	6.5	15.1	0.8	3	2.5	3.5	5.3	6.5	3.1	1.2	0.4	2.5	16.3
Tyson Chandler	DAL	64	41	23	30.7	3.9	5.8	0	0	2.4	3.3	11.4	1.1	1.5	0.6	1.3	2.2	10.2
Wesley Matthews	POR	60	41	19	33.7	5.6	12.6	2.9	7.4	1.8	2.4	3.7	2.3	1.4	1.3	0.2	2.2	15.9
